Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Kornél Dávid,,1.7,0.4,0.3,NA,NA,NA
Linton Johnson,87.0,1.9,0.4,0.4,0,0,0
Red Morrison,84.1,1.7,0.5,0,NA,NA,NA
Jim Holstein,83.7,1.8,0.6,0.2,NA,NA,NA
Chris Singleton,83.6,1.5,0.5,0.2,NA,NA,NA
Ron Bonham,81.5,1.8,0.7,0.2,NA,NA,NA
Ron Riley,78.2,1.6,0.7,0.2,0,NA,NA
Joe Roberts,76.9,1.9,0.2,0.2,0,NA,NA
Chris McNealy,76.8,1.6,0.8,0.2,NA,NA,NA
Billy Schaeffer,76.4,1.9,0.8,0.5,NA,NA,NA
Viktor Khryapa,76.0,1.3,0.4,0.3,0,NA,NA
