Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Gerry Ward,,1,0.4,-0.1,-0.2
Tate George,72.8,1.1,0.4,0,-0.1
Ish Smith,68.0,1,0.3,-0.1,-0.4
Sundiata Gaines,67.7,1,0.5,-0.1,NA
Eddie Hughes,66.4,1,0.4,0,NA
Stan Pietkiewicz,63.3,1,0.6,0,NA
Pace Mannion,60.9,0.9,0.4,0.2,-0.2
Glenn Hansen,59.0,0.8,0.4,-0.1,NA
Willie Smith,59.0,1,0.3,0,0
Raymond Townsend,57.7,0.8,0.4,-0.2,NA
Anthony Johnson,56.8,1.1,0.4,0.3,-0.2
