Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Willie Wise,,11.2,10.5,8.9,7.5,6.7,2.5,0.7,0.6,0,NA,NA
Kenny Sears,83.8,13.3,10,8.8,8,6.2,4,3.7,1.8,NA,NA,NA
Draymond Green,82.0,11.1,8.5,8.2,6.1,4.5,4.3,0.6,NA,NA,NA,NA
Red Robbins,81.4,10.7,9.3,7,6.9,6.7,3.9,3.7,2.3,NA,NA,NA
George Yardley,80.9,12.3,10,9,7.6,7.5,6.8,5.3,NA,NA,NA,NA
Calvin Natt,80.4,10.2,9.8,9.3,8.4,7.1,6.1,4.2,1.1,0.5,0.3,0
Terry Dischinger,79.5,11.3,10.3,9.2,5.9,5.8,4.8,3.9,3.8,1.4,NA,NA
Arnie Johnson,79.5,9.1,8.7,7.5,7.2,6.7,NA,NA,NA,NA,NA,NA
Giannis Antetokounmpo,77.7,14.4,12.4,11.9,7.1,6.2,1.2,NA,NA,NA,NA,NA
Gordon Hayward,76.6,10.4,8.9,8.7,5.4,4.9,4.9,3.6,1.2,0,NA,NA
Larry Kenon,75.4,10,9.5,8.8,7.5,6.2,5.9,5.4,4.1,0.9,0.2,NA
