,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,23,TOT,ABA,,9,,1,,,,6,7,,,,,,,,,18
1972-73,23,MMT,ABA,,4,,1,,,,1,2,,,,,,,,,8
1972-73,23,KEN,ABA,,9,,1,,,,6,7,,,,,,,,,18
1973-74,24,PHO,NBA,,7,13,,,,,5,6,5,5,8,6,3,2,,6,19
Career,,,TOT,,9,,,,,,6,7,,,,,,,,,19
,,,NBA,,7,13,,,,,5,6,5,5,8,6,3,2,,6,19
,,,ABA,,9,,1,,,,6,7,,,,,,,,,18
,,,,,,,,,,,,,,,,,,,,,
1 Season,,KEN,ABA,,9,,1,,,,6,7,,,,,,,,,18
1 Season,,PHO,NBA,,7,13,,,,,5,6,5,5,8,6,3,2,,6,19
1 Season,,MMT,ABA,,4,,1,,,,1,2,,,,,,,,,8
