Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Win Wilfong,,2.1,0.6,0.2,-0.3
Alexey Shved,84.9,2.2,0.8,0.2,NA
Trajan Langdon,84.7,2,0.6,0.3,NA
Jerry Eaves,83.0,2,0.7,0,-0.1
John Lucas III,81.4,2.2,0.6,0,-0.1
Cory Alexander,81.1,2.2,1.1,0.2,-0.3
Bubbles Hawkins,80.7,1.9,0.6,0.3,0.1
Kedrick Brown,79.3,2,0.5,0.4,0.1
Milt Palacio,78.6,1.8,0.8,0.2,-0.3
Ian Clark,76.5,2.3,0.9,0.2,-0.1
Kevin Williams,76.3,1.9,0.6,0.1,0.1
