Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Campy Russell,,6.7,6.7,6.6,5.5,4.3,3.2,1.8,1.1,-0.1
Tobias Harris,90.3,7.1,6.8,6.7,6.6,4.8,4.1,2.4,0.9,NA
Wil Jones,90.3,7.4,6.9,6,5.4,4,3.7,2.3,0.9,0.6
Loy Vaught,90.0,6.3,6.3,5.5,5.5,4.2,4.1,2.2,0.5,-0.2
Jamal Mashburn,89.0,7.3,6.4,6.3,4.1,3.6,3.4,1.8,0.9,0.2
Raef LaFrentz,87.0,7.5,6.8,6.4,5.9,5.8,4.3,1.2,0.9,0.2
Kenneth Faried,86.5,7.8,6.5,5.6,5.5,4.6,4.5,2.9,1.3,NA
Gus Johnson,86.1,7.2,5.9,5.3,5.1,5,3.5,2.2,1.6,0.1
Ed Pinckney,86.1,7.5,6.2,6.1,4.7,4,2.9,2.7,2.3,0.3
Jim Pollard,86.1,7.2,5.7,5.7,5.4,4.6,4.2,2.1,NA,NA
Amir Johnson,85.9,7.3,6.3,5.6,4.5,4,3,2.7,0.5,0.2
