Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Campy Russell,,6.7,6.7,6.6,5.5,4.3,3.2,1.8,1.1,-0.1,NA,NA
Tobias Harris,90.3,7.1,6.8,6.7,6.6,4.8,4.1,2.4,0.9,NA,NA,NA
Wil Jones,90.3,7.4,6.9,6,5.4,4,3.7,2.3,0.9,0.6,NA,NA
Loy Vaught,89.6,6.3,6.3,5.5,5.5,4.2,4.1,2.2,1,0.5,0.2,-0.2
Kenneth Faried,86.5,7.8,6.5,5.6,5.5,4.6,4.5,2.9,1.3,NA,NA,NA
Raef LaFrentz,86.1,7.5,6.8,6.4,5.9,5.8,4.3,1.2,0.9,0.5,0.2,NA
Jim Pollard,86.1,7.2,5.7,5.7,5.4,4.6,4.2,2.1,NA,NA,NA,NA
Tristan Thompson,85.8,8.7,7.3,6.8,5.7,5.2,2.6,2.5,1.1,NA,NA,NA
Larry Siegfried,85.5,6.4,5.8,5.6,5.1,3.5,3.2,2.9,0.5,0.1,NA,NA
Ruben Patterson,84.9,6.7,5.6,5.5,5.4,3.4,3.2,3,2.1,0.2,0.1,NA
Lonnie Shelton,84.6,7.5,5.9,5.8,5.1,4.8,4.6,2.1,0.9,0.5,0.1,NA
