Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,24,KEN,ABA,C,1,NA,5,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,NA,NA,1,0,0,2,0
1968-69,25,MNP,ABA,C,64,NA,886,139,397,0.35,0,0,NA,139,397,0.35,0.35,71,114,0.623,175,173,348,27,60,170,349
1969-70,26,TOT,ABA,C,14,NA,147,12,46,0.261,0,1,0,12,45,0.267,0.261,7,17,0.412,23,32,55,3,11,31,31
1969-70,26,CAR,ABA,C,11,NA,135,12,41,0.293,0,1,0,12,40,0.3,0.293,7,15,0.467,21,30,51,2,11,29,31
1969-70,26,MMF,ABA,C,3,NA,12,0,5,0,0,0,NA,0,5,0,0,0,2,0,2,2,4,1,0,2,0
Career,NA,,ABA,,79,NA,1038,151,443,0.341,0,1,0,151,442,0.342,0.341,78,131,0.595,198,205,404,30,71,203,380
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,MNP,ABA,,64,NA,886,139,397,0.35,0,0,NA,139,397,0.35,0.35,71,114,0.623,175,173,348,27,60,170,349
1 season,NA,CAR,ABA,,11,NA,135,12,41,0.293,0,1,0,12,40,0.3,0.293,7,15,0.467,21,30,51,2,11,29,31
1 season,NA,MMF,ABA,,3,NA,12,0,5,0,0,0,NA,0,5,0,0,0,2,0,2,2,4,1,0,2,0
1 season,NA,KEN,ABA,,1,NA,5,0,0,NA,0,0,NA,0,0,NA,NA,0,0,NA,NA,NA,1,0,0,2,0
