Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,24,KEN,ABA,C,1,NA,5,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,7.2,0,0,14.4,0
1968-69,25,MNP,ABA,C,64,NA,886,5.6,16.1,0.35,0,0,NA,5.6,16.1,0.35,2.9,4.6,0.623,7.1,7,14.1,1.1,2.4,6.9,14.2
1969-70,26,TOT,ABA,C,14,NA,147,2.9,11.3,0.261,0,0.2,0,2.9,11,0.267,1.7,4.2,0.412,5.6,7.8,13.5,0.7,2.7,7.6,7.6
1969-70,26,CAR,ABA,C,11,NA,135,3.2,10.9,0.293,0,0.3,0,3.2,10.7,0.3,1.9,4,0.467,5.6,8,13.6,0.5,2.9,7.7,8.3
1969-70,26,MMF,ABA,C,3,NA,12,0,15,0,0,0,NA,0,15,0,0,6,0,6,6,12,3,0,6,0
Career,NA,,ABA,,79,NA,1038,5.2,15.4,0.341,0,0,0,5.2,15.3,0.342,2.7,4.5,0.595,6.9,7.1,14,1,2.5,7,13.2
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,MNP,ABA,,64,NA,886,5.6,16.1,0.35,0,0,NA,5.6,16.1,0.35,2.9,4.6,0.623,7.1,7,14.1,1.1,2.4,6.9,14.2
1 season,NA,CAR,ABA,,11,NA,135,3.2,10.9,0.293,0,0.3,0,3.2,10.7,0.3,1.9,4,0.467,5.6,8,13.6,0.5,2.9,7.7,8.3
1 season,NA,MMF,ABA,,3,NA,12,0,15,0,0,0,NA,0,15,0,0,6,0,6,6,12,3,0,6,0
1 season,NA,KEN,ABA,,1,NA,5,0,0,NA,0,0,NA,0,0,NA,0,0,NA,NA,NA,7.2,0,0,14.4,0
