,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,24,KEN,ABA,,0,,0,,,,0,0,,,,,,,0
1968-69,25,MNP,ABA,,13,,0,,,,7,10,,,,,,,31
1969-70,26,TOT,ABA,,3,,0,,,,3,5,,,,,,,9
1969-70,26,CAR,ABA,,3,,0,,,,3,5,,,,,,,9
1969-70,26,MMF,ABA,,0,,0,,,,0,2,,,,,,,0
Career,,,,,13,,0,,,,7,10,,,,,,,31
1 Season,,MNP,ABA,,13,,0,,,,7,10,,,,,,,31
1 Season,,CAR,ABA,,3,,0,,,,3,5,,,,,,,9
1 Season,,MMF,ABA,,0,,0,,,,0,2,,,,,,,0
1 Season,,KEN,ABA,,0,,0,,,,0,0,,,,,,,0
