Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Kevin Porter,,6.5,6.4,6.2,5.2,4.2,2.7,2.3,1.8,0.5,0.2,NA,NA
Clem Haskins,94.3,6.8,6.4,6.1,5.3,3.4,2.9,2.3,1.6,1,NA,NA,NA
Ricky Rubio,88.8,6.1,5.9,5.8,5.3,3.7,3,2,0.5,NA,NA,NA,NA
Dee Brown,87.4,6.8,6.4,6.4,3.5,3.4,2.5,2.4,1,0.8,0.3,0.2,-0.3
K.C. Jones,87.4,6.7,6.6,5.8,4.9,3.7,3.7,3.6,3,0.8,NA,NA,NA
D.J. Augustin,86.6,6.9,6.2,6.2,5.1,4.1,3.4,2.8,2.8,2.6,1.2,0.5,NA
Steve Jones,86.0,8.2,7.1,5.6,5.4,4.4,2.7,1.6,1.1,0.8,NA,NA,NA
Eddie Johnson,85.7,8.2,6.9,6.3,4.8,4.2,3.5,3,1.7,1.5,0.8,NA,NA
Austin Carr,85.6,5.9,5.4,5.3,5,3.4,2.9,2.6,2,1,-0.4,NA,NA
Butch Beard,85.4,7.6,5.9,5.6,4.4,3.7,2.2,2,1.5,0,NA,NA,NA
Brian Winters,85.4,6.2,6,5.5,5.1,5,4.2,3.5,2.1,1.1,NA,NA,NA
