Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Stu Lantz,,10.5,7.4,4.7,3.4,2.4,1.7,1.4,1,NA,NA,NA,NA
Flynn Robinson,88.3,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2,NA,NA,NA,NA
Warren Jabali,87.6,10.7,7.3,5.8,3.5,3.2,2.6,2.1,NA,NA,NA,NA,NA
Mike Riordan,86.8,11.1,7,6.1,3.8,2.1,1.7,1.7,-0.1,-0.1,NA,NA,NA
Chuck Williams,86.3,10,6.1,4.7,3.8,3.2,3,1.3,0.6,NA,NA,NA,NA
Bill Melchionni,86.1,8.4,6.5,4.8,3.3,1.8,1.6,1.5,1.1,-0.1,NA,NA,NA
Scott Skiles,81.2,8,7,4.5,4.4,3.2,2,1.3,0.3,0.1,-0.2,NA,NA
Ben Gordon,79.7,8.6,6.9,5.1,4.4,3.5,2.1,1.7,1.7,0.3,-0.3,-0.6,NA
Paul Seymour,79.0,9.3,8.7,6.7,3.8,3.2,2.3,1.8,0.8,0.5,0.4,0.3,-0.1
Ronnie Brewer,77.9,7.8,6.8,5.4,3.9,3.7,1.7,1.1,0,NA,NA,NA,NA
Voshon Lenard,77.9,7.1,6.8,4,3.5,3,2.4,1.7,0.9,0.3,0.1,-0.1,NA
