Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Stu Lantz,,10.5,7.4,4.7,3.4,2.4,1.7,1.4,1
Mo Williams,89.7,9.8,6.7,4.5,3.2,2.5,2.2,1,0.2
Flynn Robinson,88.3,9.3,6.7,4.9,3.6,3.3,2.2,1.3,1.2
Warren Jabali,87.6,10.7,7.3,5.8,3.5,3.2,2.6,2.1,NA
Mike Riordan,87.1,11.1,7,6.1,3.8,2.1,1.7,1.7,-0.1
Chuck Williams,86.3,10,6.1,4.7,3.8,3.2,3,1.3,0.6
Wesley Person,83.6,10.3,6.9,5.2,4,3.8,3.7,2.6,1.2
Ben Gordon,81.9,8.6,6.9,5.1,4.4,3.5,2.1,1.7,1.7
Avery Johnson,81.9,9.1,8,5.2,4.1,1.6,1.3,0.5,0.3
Bill Melchionni,81.9,8.4,6.5,4.8,3.3,1.6,1.5,1.1,-0.1
Monta Ellis,81.6,9,6,4.6,4,2.6,1.3,0.5,0.2
