Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,27,DET,NBA,SG,50,NA,980,7.1,16.6,0.427,6.4,7.5,0.848,1.6,3.6,5.2,4.5,1.7,0.1,3.6,20.6,NA,NA,97
1974-75,28,TOT,NBA,SG,75,NA,1783,5.7,14.1,0.406,4.8,5.8,0.838,2.2,2.7,4.9,4.7,1.4,0.3,4.1,16.3,NA,NA,103
1974-75,28,NOJ,NBA,SG,19,NA,353,4.8,14.3,0.339,5.8,6.6,0.887,0.9,2.1,3,3.7,1.5,0.2,3.5,15.5,NA,NA,103
1974-75,28,LAL,NBA,SG,56,NA,1430,6,14.1,0.424,4.6,5.6,0.824,2.6,2.8,5.4,5,1.4,0.3,4.2,16.5,NA,NA,104
1975-76,29,LAL,NBA,PG,53,NA,853,4.4,10.6,0.417,4.2,4.6,0.899,1.5,3.7,5.2,4,1.4,0.2,5.5,13,NA,NA,102
Career,NA,,NBA,,178,NA,3616,5.8,14,0.435,5.1,6,0.814,1.9,3.2,5,4.5,1.5,0.2,4.3,16.7,NA,NA,101
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,LAL,NBA,,109,NA,2283,5.4,12.8,0.422,4.4,5.2,0.849,2.1,3.1,5.3,4.6,1.4,0.3,4.7,15.2,NA,NA,103
2 seasons,NA,DET,NBA,,50,NA,980,7.1,16.6,0.415,6.4,7.5,0.825,1.6,3.6,5.2,4.5,1.7,0.1,3.6,20.6,NA,NA,97
1 season,NA,NOJ,NBA,,19,NA,353,4.8,14.3,0.339,5.8,6.6,0.887,0.9,2.1,3,3.7,1.5,0.2,3.5,15.5,NA,NA,103
4 seasons,NA,"SDR,HOU",NBA,,0,NA,0,NA,NA,0.444,NA,NA,0.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
