,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1968-69,22,SDR,NBA,,10,,10,13,,,,,,,,28
1969-70,23,SDR,NBA,,16,,11,13,,,,,,,,36
1970-71,24,SDR,NBA,,16,,15,19,,,12,12,,,6,43
1971-72,25,HOU,NBA,,14,,15,17,,,,,,,,33
1972-73,26,DET,NBA,,16,,10,11,,,,,,,,37
1973-74,27,DET,NBA,,9,,10,12,,,,,,,,24
1974-75,28,TOT,NBA,,11,,9,10,,,,,,,,26
1974-75,28,NOJ,NBA,,7,,8,9,,,5,,,,,22
1974-75,28,LAL,NBA,,11,,9,10,,,,,,,,26
1975-76,29,LAL,NBA,,7,14,6,6,,,9,6,,,6,19
Career,,,,,16,,15,19,,,,,,,,43
4 Seasons,,"HOU,SDR",NBA,,16,,15,19,,,,,,,,43
2 Seasons,,LAL,NBA,,11,,9,10,,,,,,,,26
2 Seasons,,DET,NBA,,16,,10,12,,,,,,,,37
1 Season,,NOJ,NBA,,7,,8,9,,,5,,,,,22
