Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,30,DET,NBA,PG,81,NA,3124,8.4,19.3,0.436,5.1,6.3,0.813,1.6,2.5,4.1,8,1.6,0.2,NA,3.1,21.9,NA,NA,98
1974-75,31,DET,NBA,PG,79,NA,3222,8.6,19.8,0.434,5.1,6.3,0.809,1.3,3,4.2,9,1.7,0.4,NA,3.3,22.2,NA,NA,102
1975-76,32,WSB,NBA,PG,82,NA,2945,7.8,17.4,0.447,5.2,6.6,0.787,1.5,2.2,3.7,7.7,1.8,0.4,NA,4.1,20.7,NA,NA,99
1976-77,33,WSB,NBA,SG,64,NA,1516,8.1,17.8,0.454,4.1,5.3,0.773,1.6,2.7,4.3,8.2,1.8,0.1,NA,4.5,20.3,NA,NA,101
1977-78,34,BOS,NBA,PG,80,NA,2256,8.5,18.9,0.449,4.9,5.9,0.824,1.5,2.7,4.3,6,1.6,0.4,4.3,5,21.9,NA,99,103
Career,NA,,NBA,,386,NA,13063,8.3,18.7,0.441,5,6.2,0.775,1.5,2.6,4.1,7.9,1.7,0.3,0.8,3.9,21.5,NA,99,100
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,DET,NBA,,160,NA,6346,8.5,19.5,0.44,5.1,6.3,0.771,1.4,2.7,4.1,8.5,1.6,0.3,NA,3.2,22.1,NA,NA,100
2 seasons,NA,WSB,NBA,,146,NA,4461,7.9,17.6,0.449,4.8,6.1,0.783,1.5,2.4,3.9,7.9,1.8,0.3,NA,4.2,20.6,NA,NA,99
1 season,NA,BOS,NBA,,80,NA,2256,8.5,18.9,0.449,4.9,5.9,0.824,1.5,2.7,4.3,6,1.6,0.4,4.3,5,21.9,NA,99,103
