Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1966-67,23,DET,NBA,PG,80,NA,2762,8.7,19.8,0.436,3.6,4.8,0.738,NA,NA,4.7,4.3,NA,NA,NA,2.8,20.9
1967-68,24,DET,NBA,PG,79,NA,3209,9.4,21.2,0.441,5.3,7.5,0.707,NA,NA,4.2,5.7,NA,NA,NA,2.8,24
1968-69,25,DET,NBA,PG,77,NA,3039,8,18.9,0.425,5.3,7.4,0.713,NA,NA,4.5,6.5,NA,NA,NA,3,21.3
1969-70,26,DET,NBA,PG,70,NA,2334,8.9,20,0.444,7,8.9,0.783,NA,NA,4.6,6.4,NA,NA,NA,3,24.7
1970-71,27,DET,NBA,PG,82,NA,3065,9.4,20.1,0.467,7.2,9.1,0.797,NA,NA,4.3,4.8,NA,NA,NA,2.7,26
1971-72,28,DET,NBA,PG,45,NA,1936,6.9,16.6,0.414,5.2,6.6,0.785,NA,NA,3.5,5.9,NA,NA,NA,2.6,18.9
1972-73,29,DET,NBA,PG,82,NA,3361,7.4,16.5,0.448,4.9,6,0.814,NA,NA,3.2,6.8,NA,NA,NA,2.5,19.7
1973-74,30,DET,NBA,PG,81,NA,3124,6.7,15.4,0.436,4.1,5,0.813,1.2,2,3.2,6.4,1.3,0.2,NA,2.5,17.5
1974-75,31,DET,NBA,PG,79,NA,3222,6.5,14.9,0.434,3.8,4.7,0.809,1,2.2,3.2,6.8,1.3,0.3,NA,2.5,16.7
1975-76,32,WSB,NBA,PG,82,NA,2945,6.1,13.6,0.447,4.1,5.2,0.787,1.1,1.7,2.9,6,1.4,0.3,NA,3.2,16.2
1976-77,33,WSB,NBA,SG,64,NA,1516,6.4,14.2,0.454,3.2,4.2,0.773,1.3,2.1,3.4,6.5,1.4,0.1,NA,3.6,16.1
1977-78,34,BOS,NBA,PG,80,NA,2256,6.7,15,0.449,3.9,4.7,0.824,1.2,2.2,3.4,4.8,1.3,0.3,3.4,3.9,17.4
Career,NA,,NBA,,901,NA,32769,7.6,17.3,0.441,4.8,6.2,0.775,1.2,2,3.8,5.9,1.3,0.2,3.4,2.9,20.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,DET,NBA,,675,NA,26052,8,18.1,0.44,5.1,6.6,0.771,1.1,2.1,3.9,6,1.3,0.2,NA,2.7,21.1
2 seasons,NA,WSB,NBA,,146,NA,4461,6.2,13.8,0.449,3.8,4.8,0.783,1.2,1.9,3.1,6.2,1.4,0.2,NA,3.3,16.2
1 season,NA,BOS,NBA,,80,NA,2256,6.7,15,0.449,3.9,4.7,0.824,1.2,2.2,3.4,4.8,1.3,0.3,3.4,3.9,17.4
