Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Dave Bing,,11.7,8.6,7.3,6.3,6.2,5.3,5.3,5.3,4.5,3.6,2.9,1.7
Richie Guerin,94.3,12.1,8.4,7.4,7.2,6.3,5.7,5.7,5.4,4.7,3.5,1.7,1.2
Brent Barry,92.5,12.1,7.5,7.3,6.8,6.1,5.8,5.7,4.9,4.3,2.7,2.1,1.6
Gail Goodrich,92.3,12.3,8.1,7.8,6.7,6.4,6.3,5.5,5.1,4.4,3.6,1.2,0.7
Byron Scott,90.7,10.7,7.7,6.9,6.8,6.6,6,6,5.2,3.9,3.3,3.1,2.7
Mike Bibby,89.6,9.3,8.5,8.4,6.9,6.3,5.6,5.6,5.3,4.8,4.4,2.1,1.3
Doc Rivers,89.2,10.3,8.5,8.3,6.5,6.3,6.3,4.2,4.2,4,3.9,2,1.5
Carl Braun,89.1,9,8.6,7.6,7.2,6.2,5.3,4.7,4.5,3.7,3.6,3,0.4
Dan Majerle,87.6,9.8,9.8,7.7,7.3,7.2,6.1,5.5,5.5,5.3,3.5,3.5,2.5
Mitch Richmond,87.6,10.8,9.3,8,7.9,7.1,6.4,5.6,5.2,5.2,4.9,3.3,3.1
Fred Brown,87.5,8.8,7.9,6.7,6.4,6.1,5.2,5.2,4.9,3.9,3.6,2.8,-0.9
