Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Dave Bing,,11.7,8.6,7.3,6.3,6.2,5.3,5.3,5.3,4.5,3.6,2.9,1.7,NA,NA
Richie Guerin,94.3,12.1,8.4,7.4,7.2,6.3,5.7,5.7,5.4,4.7,3.5,1.7,1.2,-0.1,NA
Brent Barry,90.5,12.1,7.5,7.3,6.8,6.1,5.8,5.7,4.9,4.3,2.7,2.3,2.1,1.6,1.5
Gail Goodrich,90.4,12.3,8.1,7.8,6.7,6.4,6.3,6.3,5.5,5.1,4.4,3.6,2.2,1.2,0.7
Carl Braun,88.8,9,8.6,7.6,7.2,6.2,5.3,4.7,4.5,3.7,3.6,3,0.5,0.4,NA
Fred Brown,88.3,8.8,7.9,6.7,6.4,6.1,5.2,5.2,4.9,3.9,3.6,2.8,2.6,-0.9,NA
Mike Bibby,88.2,9.3,8.5,8.4,6.9,6.3,5.6,5.6,5.3,4.8,4.4,4,2.1,1.3,0.7
Doc Rivers,88.2,10.3,8.5,8.3,6.5,6.3,6.3,4.2,4.2,4,3.9,2.2,2,1.5,NA
World B. Free,87.8,10.1,8,7.4,6.9,6.1,6,6,5.7,5.3,4.6,1.5,0.4,-0.2,NA
Billy Knight,87.2,10.7,8.4,8.3,7.1,6,5.8,5.8,4.3,3.7,3.4,0.4,NA,NA,NA
Byron Scott,87.1,10.7,7.7,6.9,6.8,6.6,6,6,5.2,4.1,3.9,3.3,3.1,2.7,2.3
