Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1967-68,24,DET,NBA,PG,1,1,20:00,4,7,0.571,1,1,1,NA,2,4,NA,NA,NA,3,9
1968-69,25,DET,NBA,PG,1,0,13:00,1,3,0.333,1,1,1,NA,0,3,NA,NA,NA,0,3
1970-71,27,DET,NBA,PG,1,1,19:00,2,7,0.286,0,0,NA,NA,2,2,NA,NA,NA,1,4
1972-73,29,DET,NBA,PG,1,0,19:00,0,4,0,2,2,1,NA,3,0,NA,NA,NA,1,2
1973-74,30,DET,NBA,PG,1,0,16:00,2,9,0.222,1,1,1,1,6,2,0,0,NA,1,5
1974-75,31,DET,NBA,PG,1,0,12:00,0,2,0,2,2,1,0,0,1,0,0,NA,0,2
1975-76,32,WSB,NBA,PG,1,1,26:00,7,11,0.636,2,2,1,1,3,4,0,0,NA,1,16
Career,NA,,NBA,,7,3,125,16,43,0.372,9,9,1,2,16,16,0,0,NA,7,41
