,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,TRB,AST,PF,PTS
1950-51,24,WSC,NBA,,8,,9,,,,,21
1951-52,25,BOS,NBA,,11,,8,,,,6,24
1952-53,26,BOS,NBA,,17,,14,15,,,,42
1953-54,27,BOS,NBA,,13,,12,14,,,,30
1954-55,28,BOS,NBA,,13,,13,,,,6,37
1955-56,29,BOS,NBA,,14,,19,21,,,6,35
1956-57,30,BOS,NBA,,14,,13,14,,,6,33
1957-58,31,BOS,NBA,,17,,13,13,,,6,44
1958-59,32,BOS,NBA,,13,,15,21,,,6,36
1959-60,33,BOS,NBA,,14,,12,12,,,6,35
1960-61,34,BOS,NBA,,12,,10,11,,,5,32
Career,,,,,17,,19,,,,,44
10 Seasons,,BOS,NBA,,17,,19,,,,,44
1 Season,,WSC,NBA,,8,,9,,,,,21
