Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1951-52,25,BOS,NBA,SG,1,NA,27,7,12,0.583,1,1,1,3,7,4,15
1952-53,26,BOS,NBA,SG,6,NA,33.5,3.3,10,0.333,5,5.3,0.938,2.5,2.5,4.3,11.7
1953-54,27,BOS,NBA,SG,6,NA,34.3,5.8,13.5,0.432,7.2,8.3,0.86,4.2,1.7,4.8,18.8
1954-55,28,BOS,NBA,SG,7,NA,41.4,7.9,15.7,0.5,5,5.4,0.921,5.4,5.4,3.4,20.7
1955-56,29,BOS,NBA,SG,3,NA,39.7,6,15.3,0.391,5.3,5.7,0.941,2.3,4,2.3,17.3
1956-57,30,BOS,NBA,SG,10,NA,37.7,7.5,19.7,0.381,6.1,6.4,0.953,3.5,2.9,2.3,21.1
1957-58,31,BOS,NBA,SG,11,NA,36.9,8.2,20.1,0.407,4.7,5.1,0.929,4.9,2.3,2.5,21.1
1958-59,32,BOS,NBA,SG,11,NA,29.3,7.5,17.5,0.425,5.2,5.4,0.966,3.3,2.5,3.2,20.1
1959-60,33,BOS,NBA,SG,13,NA,28,6.8,16.1,0.421,3.3,4.1,0.811,3.5,1.5,1.7,16.8
1960-61,34,BOS,NBA,SG,10,NA,26.1,6.8,13.3,0.511,3.2,3.6,0.889,2.7,1.7,2.2,16.8
Career,NA,,NBA,,78,NA,33,6.9,16.2,0.426,4.7,5.2,0.911,3.7,2.6,2.8,18.5
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10 seasons,NA,BOS,NBA,,78,NA,33,6.9,16.2,0.426,4.7,5.2,0.911,3.7,2.6,2.8,18.5
