Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1952-53,26,BOS,NBA,SG,1,1,26:00,5,8,0.625,1,1,1,4,0,2,11
1953-54,27,BOS,NBA,SG,1,0,30:00,6,9,0.667,2,4,0.5,2,3,3,14
1954-55,28,BOS,NBA,SG,1,0,18:00,5,10,0.5,5,5,1,4,2,4,15
1955-56,29,BOS,NBA,SG,1,0,22:00,2,8,0.25,3,5,0.6,3,1,2,7
1956-57,30,BOS,NBA,SG,1,1,23:00,5,17,0.294,2,2,1,6,5,1,12
1957-58,31,BOS,NBA,SG,1,1,25:00,6,19,0.316,3,3,1,4,3,2,15
1958-59,32,BOS,NBA,SG,1,1,24:00,3,12,0.25,5,6,0.833,2,0,1,11
1959-60,33,BOS,NBA,SG,1,0,26:00,8,21,0.381,1,1,1,6,2,1,17
Career,NA,,NBA,,8,4,194,40,104,0.385,22,27,0.815,31,16,16,102
