Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Timofey Mozgov,,5.7,4.5,3.7,1.1,1.1,0.7,0.6,0.4
JaVale McGee,80.0,5.3,4.9,4.1,2.1,2,1.1,0.4,-0.1
Randy Breuer,79.1,5.1,4.5,3,2.4,2,1,0.9,0.3
Dewayne Dedmon,79.0,5.2,4,3.7,2.4,1.7,0.6,NA,NA
Chris Andersen,78.6,5.9,5.4,4.5,2.4,1.3,1.1,0.3,0
Dale Schlueter,78.3,6.3,4.4,3,2,1.6,1.2,1.1,1.1
Dan Gadzuric,78.0,5.2,3.7,2.5,1.8,1.2,0.8,0.5,0.1
Rick Robey,76.9,5.5,3.7,3.1,1.9,1.4,0.9,-0.2,-0.6
Felton Spencer,76.9,5.6,4.7,2.4,2,2,1.3,1.1,0.9
Dennis Awtrey,76.5,5.2,5,3.1,2.1,1.8,1.4,1,1
Tim McCormick,75.4,6,4.6,3.9,3.8,2,1.1,0.2,-0.1
