Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Jérôme Moïso,,1.5,0.8,0.2,-0.1,-0.3
Chris McNealy,78.9,1.6,0.8,0.2,NA,NA
Ron Riley,77.6,1.6,0.7,0.2,0,NA
Kevin Loder,76.3,1.5,0.9,0.1,NA,NA
Adrian Branch,74.4,1.5,0.7,0,-0.1,NA
Randolph Keys,73.2,1.2,1,0.3,0,-0.2
Patrick McFarland,73.0,1.3,0.7,0.4,NA,NA
Ben McDonald,71.1,1.3,0.7,0.3,0.2,NA
Ron Bonham,70.5,1.8,0.7,0.2,NA,NA
Chris Singleton,70.2,1.5,0.5,0.2,NA,NA
Alec Kessler,69.9,1.2,0.8,0.1,-0.1,NA
