Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Mark Landsberger,,3.4,2.2,2.2,1.9,1.7,0.4,0.3
Sidney Green,92.2,3.4,2.7,2.5,2,1.7,0.6,0.3
Wally Walker,92.1,3.5,2.1,2,1.9,1.8,0.9,0.1
Mike Muscala,91.1,3.4,2.5,2.4,1.9,1.6,0.2,NA
Scott Padgett,90.5,3.5,2.8,2.5,1.9,1.8,0.4,0.1
Chucky Brown,88.3,4.2,2.2,2.2,2.1,1.6,0.3,0
Al Tucker,88.2,3.5,2.3,2.3,2.1,1.1,NA,NA
Ron Behagen,87.8,4.3,2.4,2.2,2,1.8,0.2,0.1
Lawrence Funderburke,87.7,3.7,3.1,2.1,1.9,1.6,0.5,0.1
Matt Bullard,87.4,3.4,2.5,2.4,1.7,1,0.6,0.2
Eric Williams,87.1,2.9,2.5,2.2,2.2,1.6,0.2,0.1
