Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Mark Landsberger,,3.4,2.2,2.2,1.9,1.7,0.4,0.3,NA
Mike Muscala,91.1,3.4,2.5,2.4,1.9,1.6,0.2,NA,NA
Wally Walker,90.8,3.5,2.1,2,1.9,1.8,0.9,0.5,0.1
Scott Padgett,90.0,3.5,2.8,2.5,1.9,1.8,0.4,0.1,0.1
Al Tucker,88.2,3.5,2.3,2.3,2.1,1.1,NA,NA,NA
Ron Behagen,87.8,4.3,2.4,2.2,2,1.8,0.2,0.1,NA
Lawrence Funderburke,87.7,3.7,3.1,2.1,1.9,1.6,0.5,0.1,NA
Don Ford,87.1,3.5,2.8,2.5,2,1.5,0.6,-0.1,NA
Lew Hitch,84.3,3.3,2.7,2.2,2.2,1.2,NA,NA,NA
Kevin Restani,83.1,3.5,2.6,2.2,2.1,2,1.8,0.5,0
E.C. Coleman,82.9,3.2,2.7,2.6,2.5,1.7,0.1,NA,NA
