Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Dudley Bradley,,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1,0
John Battle,93.5,4,3.2,2.3,2,1.7,1.5,1.4,1,0.5
Clint Richardson,91.0,3.3,3.1,2.4,2.1,1.9,1.8,1.1,1,NA
Marquis Daniels,90.4,4.2,3.2,2.5,2,1.3,1.3,0.9,0.6,0.1
Jim King,88.8,3.7,3.5,2.5,2.3,1.5,1.3,1.1,0.4,-0.1
Fatty Taylor,87.8,3.7,3,2.6,2.6,2.1,1.3,1.2,0.4,NA
Sasha Vujačić,87.6,3.7,3.6,2.1,2,1.8,1.4,1.1,0.2,-0.1
Frank Johnson,87.3,4.3,3,2.1,1.9,1.6,1.5,0.6,0.5,0.5
Shaun Livingston,86.2,4.4,2.6,2.4,1.9,1.3,1.3,1.2,0.4,0.1
Jon Barry,85.5,4.2,2.4,2.4,2.4,2.1,1.8,1.1,0.9,-0.1
J.J. Barea,83.1,3.2,2.7,2.2,2.2,1.9,1.2,0.7,0.5,0.1
