Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Andy Duncan,,3.7,3.4,-0.3
Ben Wallace,92.0,3.6,2.9,-0.2
Len Chappell,91.0,3.6,3.2,0.1
Dike Eddleman,91.0,3.8,3.7,-0.1
Richard Washington,90.4,3.9,3.2,0
Ollie Darden,87.8,3.7,3.6,0.3
Michael Ansley,85.2,3.3,3.1,0
Hakim Warrick,84.9,3.7,3.3,0.8
John Tresvant,82.9,3.5,2.7,0.1
Marv Roberts,82.4,4.3,3.4,0.4
George Trapp,81.9,3.5,2.4,-0.2
