Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Andy Duncan,,3.7,3.4,-0.3,NA,NA
Dike Eddleman,89.0,3.8,3.7,-0.1,-0.1,NA
Ollie Darden,87.8,3.7,3.6,0.3,NA,NA
Michael Ansley,85.2,3.3,3.1,0,NA,NA
Bill Closs,77.8,4.4,2.8,0,NA,NA
Lee Shaffer,71.6,5,3.8,-0.6,NA,NA
Sonny Dove,71.1,4.3,3,0.4,0,-0.5
Paul Graham,68.0,3.6,1.9,0.2,NA,NA
Sam Smith,65.8,4.6,3.3,1.4,0.2,NA
Jaylen Brown,64.7,4.5,3,1.5,NA,NA
Leonard Gray,63.8,4.1,4,1.8,NA,NA
