Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
James Ennis,,3.1,3.1,2.6,1.9,0.9
Tom Hawkins,91.7,3.2,2.9,2.3,2.1,1.2
Edgar Jones,89.9,3.4,3.4,2.4,2.3,0.9
J.R. Reid,89.7,3.4,3,2.1,1.8,1.1
Don Ford,88.9,3.5,2.8,2.5,2,1.5
Al-Farouq Aminu,88.3,3.3,3.1,3.1,1.4,0.7
Derrick Williams,88.1,3.6,3,2.6,2.1,1.8
Scott Williams,88.1,3.9,3.1,2.3,1.7,0.9
Andrew DeClercq,88.0,3.4,3.1,2.9,1.6,0.4
Don Reid,87.2,2.9,2.8,2.7,1.1,1
Nick Weatherspoon,87.1,3.6,2.6,2.4,2.1,0.6
