Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
James Ennis,,3.1,3.1,2.6,1.9,0.9,NA,NA,NA
Chuck Cooper,92.8,3.3,3.1,2.4,1.7,1.1,0,NA,NA
Lew Hitch,87.5,3.3,2.7,2.2,2.2,1.2,NA,NA,NA
E.C. Coleman,84.8,3.2,2.7,2.6,2.5,1.7,0.1,NA,NA
Doug McDermott,84.4,2.9,2.8,2.6,2.3,0,NA,NA,NA
Al Tucker,84.4,3.5,2.3,2.3,2.1,1.1,NA,NA,NA
Don Ford,84.3,3.5,2.8,2.5,2,1.5,0.6,-0.1,NA
Derrek Dickey,84.2,3.8,3.1,2.3,1.7,0.3,NA,NA,NA
Mike Muscala,84.0,3.4,2.5,2.4,1.9,1.6,0.2,NA,NA
Stacey King,83.8,3.6,3.1,1.9,1.5,0.9,0.1,0,-0.2
Dwight Davis,83.7,3.7,3.3,2.3,1.5,0.6,NA,NA,NA
