Thru 5 Years,Thru 5 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Todd Fuller,,0.7,0.7,0.6,0.2,0
Steve Scheffler,79.2,0.7,0.6,0.6,0.4,0.3
Dave Newmark,73.9,0.8,0.7,0.4,NA,NA
Roger Brown,71.8,0.9,0.7,0.4,0.2,0.1
Mamadou N'Diaye,69.7,0.8,0.6,0.3,0.2,0
Eric Riley,69.3,0.7,0.6,0.5,0.4,0.3
Hamed Haddadi,68.6,0.6,0.6,0.4,0.1,0
Eric Fernsten,61.8,1.2,0.5,0.5,0.2,0
Connie Dierking,55.6,1.4,0.7,0.5,0.5,0.1
Shawnelle Scott,53.6,0.5,0.4,0.2,0.2,NA
Jabari Smith,52.0,0.7,0.5,0.2,0,NA
