Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Todd Fuller,,0.7,0.7,0.6,0.2,0,NA,NA,NA
Dave Newmark,73.9,0.8,0.7,0.4,NA,NA,NA,NA,NA
Roger Brown,71.8,0.9,0.7,0.4,0.2,0.1,NA,NA,NA
Mamadou N'Diaye,69.7,0.8,0.6,0.3,0.2,0,NA,NA,NA
Eric Riley,69.3,0.7,0.6,0.5,0.4,0.3,NA,NA,NA
Hamed Haddadi,68.6,0.6,0.6,0.4,0.1,0,NA,NA,NA
Steve Scheffler,67.5,0.7,0.6,0.6,0.4,0.4,0.3,0,NA
Mark McNamara,60.6,1.2,0.7,0.6,0.4,0.1,0,0,-0.2
Didier Ilunga-Mbenga,60.0,0.6,0.5,0.5,0.4,0.3,0.1,0,NA
Shawnelle Scott,53.6,0.5,0.4,0.2,0.2,NA,NA,NA,NA
Eric Fernsten,52.4,1.2,1,0.5,0.5,0.2,0,NA,NA
