Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14
Brandan Wright,,6.1,5.1,4.1,3.5,1.9,1.6,1.3,1.1,0.8,0.7,NA,NA,NA,NA
Chuck Hayes,88.7,6.4,6.3,4.4,3.6,2.4,1.6,1.5,1.4,0.6,0.5,0,NA,NA,NA
Adam Keefe,88.7,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,NA,NA,NA,NA,NA
Markieff Morris,88.4,6.4,4.6,4.1,3.3,1.7,1.6,1.5,0.5,NA,NA,NA,NA,NA,NA
Dorell Wright,87.7,5.8,4.9,4.3,3.4,2.2,1.9,1.9,1.6,0.2,-0.1,-0.1,NA,NA,NA
Tracy Murray,85.5,6.5,4.9,4.4,3.8,2.2,0.8,0.6,0.5,0.5,0.3,-0.1,-0.2,NA,NA
Luke Jackson,85.3,5.1,4.8,4.2,3.6,1.7,1.4,0.8,0.8,NA,NA,NA,NA,NA,NA
James Johnson,85.2,5.1,5,4.1,3,2.6,1.5,1.3,0.8,0.6,-0.5,NA,NA,NA,NA
Phil Jackson,84.1,5.6,4.8,4.2,3.2,2.5,2.5,1.9,1.7,0.9,0.8,0.5,0.5,NA,NA
Aaron Williams,84.1,5.2,5,4.8,3.7,3.4,1.7,1.6,1.1,1.1,0.7,0.4,0.3,-0.1,-0.1
Chris Wilcox,84.0,6,4.4,3.4,3.1,2.8,2.6,1.3,1.3,1.1,0.6,0.2,NA,NA,NA
