Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Brandan Wright,,6.1,5.1,4.1,3.5,1.9,1.6,1.3,1.1,0.8,0.7
Danny Ferry,88.8,5.6,5.5,3.9,3.6,2.7,1.7,1.7,1.3,1,1
Chuck Hayes,88.7,6.4,6.3,4.4,3.6,2.4,1.6,1.5,1.4,0.6,0.5
Adam Keefe,88.7,6.5,4.6,4.1,3.3,2.3,1.7,1.4,0.6,0.4,NA
Markieff Morris,88.4,6.4,4.6,4.1,3.3,1.7,1.6,1.5,0.5,NA,NA
Phil Jackson,88.0,5.6,4.8,4.2,3.2,2.5,2.5,1.7,0.9,0.8,0.5
George Lynch,86.8,6.5,5.8,3.9,3.5,2.6,2.5,1.7,1.5,0.9,0.7
Tracy Murray,86.2,6.5,4.9,4.4,3.8,2.2,0.8,0.6,0.5,0.5,0.3
Kris Humphries,85.6,5.4,5.3,4.1,2.7,1.9,1.8,1.5,0.7,0.2,-0.3
Dorell Wright,85.5,5.8,4.9,4.3,3.4,2.2,1.9,1.9,0.2,-0.1,-0.1
Luke Jackson,85.3,5.1,4.8,4.2,3.6,1.7,1.4,0.8,0.8,NA,NA
