Season,Team,Lg,Salary
2016-17,Phoenix Suns,NBA,"$4,276,320"
2017-18,Phoenix Suns,NBA,"$4,468,800"
2018-19,Phoenix Suns,NBA,"$4,661,280"
Career,(may be incomplete),,"$13,406,400"
