Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Dragan Bender,,0.5,0.1,-0.3,NA
Henry Ellenson,14.4,0.4,0.1,-0.2,NA
Eddie Mast,14.0,0.4,0.1,-0.2,NA
Jarnell Stokes,-2.0,0.5,0.1,0.1,NA
Justin Reed,-2.5,0.4,0.3,-0.2,NA
Anthony Frederick,-4.5,0.5,0.2,0,NA
Ken Durrett,-5.0,0.5,0.1,0,0
Josh Huestis,-6.0,0.5,0.2,0,NA
Riney Lochmann,-8.5,0.4,0.3,-0.2,NA
Samardo Samuels,-16.3,0.7,0,-0.1,NA
Okaro White,-16.4,0.6,0.2,0,NA
