Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Rodney McGruder,,2.9,1.9,0.8
Jeff Judkins,96.5,3,1.8,0.7
Tim Hardaway,96.1,3.1,1.9,0.8
Ralph Johnson,93.7,2.9,1.6,0.8
Greg Minor,93.3,3,2.1,0.6
Robert Smith,89.2,2.9,1.4,0.8
Quincy Pondexter,89.0,3.2,1.7,0.9
Bojan Bogdanović,88.8,2.9,2.4,0.9
Louie Nelson,88.7,2.9,2.3,1.1
Darrell Griffith,87.8,2.8,2.1,0.4
Norman Powell,87.8,2.8,1.6,0.6
