Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Rodney McGruder,,2.9,1.9,0.8,NA,NA,NA
Ralph Johnson,93.4,2.9,1.6,0.8,0,NA,NA
Louie Nelson,88.0,2.9,2.3,1.1,0,0,NA
Maurice McHartley,87.7,2.4,1.8,0.8,NA,NA,NA
Jeff Judkins,85.9,3,1.8,0.7,0.6,0.2,NA
Shabazz Napier,83.2,3.2,2,0.6,0.5,0.1,NA
Yogi Ferrell,82.3,3,1.9,1.8,NA,NA,NA
Tex Ritter,80.7,2.4,2.3,1,NA,NA,NA
Álex Abrines,80.5,2.2,2.1,0.6,NA,NA,NA
David Nwaba,80.3,2.4,1.4,0.8,NA,NA,NA
Chris Quinn,80.2,2.6,2.1,0.6,0.1,0.1,-0.2
