Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Mike Brown,,3.7,3.7,2.4,1.5,1.5,1.4,1,0.7,0.2,0.1,-0.4,NA
Vitaly Potapenko,84.8,3.4,3.1,2.5,2.2,1.5,1.1,1,0.5,0.2,0.1,-0.1,NA
Jordan Hill,81.8,4.4,3.9,2.2,1.8,1.4,1.4,1.4,0,NA,NA,NA,NA
Duane Causwell,81.5,3.9,2.9,2.8,1.8,1.3,1.2,0.7,0.7,0.5,0,0,NA
Hank Finkel,81.4,3.4,3.4,2.3,1.2,1,0.9,0.9,0.4,0,NA,NA,NA
Joel Anthony,79.9,3.4,3.3,3.1,1.7,1.2,1.2,0.6,0.4,0.4,0.2,NA,NA
Adonal Foyle,79.3,4,3.4,2.8,1.9,1.3,1.2,1.1,1.1,1,0.7,0.3,-0.1
Nat Clifton,79.2,3.7,3.3,2.4,2.1,1.8,1.6,0.5,-0.4,NA,NA,NA,NA
Len Elmore,78.6,4.1,3.4,2.2,2.1,2.1,1.6,1.5,0.9,0.9,0,NA,NA
Luc Longley,78.6,3.5,3.4,3.1,2.2,1.8,1.8,1.3,0.2,0.2,0,NA,NA
Jerome Whitehead,78.0,5.3,3.6,2.1,1.6,1.5,1.2,0.4,0.3,0.2,0.2,0.1,NA
