,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1969-70,23,WSA,ABA,,2,,0,,,,0,1,,,,,,,,,4
1970-71,24,VIR,ABA,,4,,0,,,,6,7,,,,,,,,,10
1971-72,25,VIR,ABA,,9,,1,,,,10,12,,,,,,,,,22
1972-73,26,VIR,ABA,,5,,1,,,,4,4,,,,,,,,,14
1973-74,27,VIR,ABA,,8,,1,,,,5,8,,,,,,,,,18
1974-75,28,DNA,ABA,,5,,0,,,,4,5,,,,,,,,,13
1976-77,30,DEN,NBA,,0,0,,,,,0,0,0,0,0,0,0,0,,0,0
Career,,,TOT,,9,,,,,,10,12,,,,,,,,,22
,,,NBA,,0,0,,,,,0,0,0,0,0,0,0,0,,0,0
,,,ABA,,9,,1,,,,10,12,,,,,,,,,22
,,,,,,,,,,,,,,,,,,,,,
5 Seasons,,"VIR,WSA",ABA,,9,,1,,,,10,12,,,,,,,,,22
2 Seasons,,"DEN,DNA",ABA,,5,,,,,,4,5,,,,,,,,,13
