Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Fatty Taylor,,3.7,3,2.6,2.6,2.1,1.3,1.2,0.4,NA,NA,NA
Steve Colter,92.0,3.3,3.1,2.7,2.6,2.3,1.7,1.4,0.3,NA,NA,NA
Rod Thorn,89.8,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1,NA,NA,NA
Dudley Bradley,87.8,3.9,3.1,2.4,1.9,1.7,1.4,1.1,1,0,NA,NA
John Bagley,87.6,4.6,3,2.6,2.6,1.9,1.1,0.9,0.4,0,-0.2,-0.3
Tyronn Lue,86.5,3.7,3.7,2.7,2.5,2.1,2,1.2,0.8,0.4,0.3,0.2
Mike Dunleavy,86.4,3.4,3.1,3,2.6,1.4,1.4,1,0.2,0.1,0,-0.1
Gerald Henderson,86.1,3.6,3.6,3.3,2.4,2,2,1,0.4,NA,NA,NA
Mickaël Piétrus,86.1,3.6,3.6,3,2.8,2.1,1.5,1.3,1.2,0.6,0,NA
Devean George,85.8,4.2,3.4,2.7,2.6,2.1,1.3,0.7,0.7,0.6,0.3,-0.3
Jim King,85.7,3.7,3.5,2.5,2.3,1.5,1.5,1.3,1.1,0.4,-0.1,NA
