Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Armond Hill,,4.2,2.6,2.5,1,0.8,0.5,0,-0.4,NA,NA
Lee Winfield,86.1,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,NA,NA,NA
Toney Douglas,85.2,4.2,2.5,2.4,2.2,0.9,0.5,0.2,-0.6,NA,NA
Sonny Hertzberg,84.7,4,2.5,2.3,1.4,0.7,NA,NA,NA,NA,NA
Brandon Knight,82.5,4.5,2.8,1.7,1.3,1.1,0.3,0,NA,NA,NA
Slick Watts,81.5,4.7,3.3,2.7,1.2,1.2,0.8,NA,NA,NA,NA
Sam Vincent,81.4,3.3,2.4,2.3,1.1,0.9,0.5,0.3,NA,NA,NA
Kent Bazemore,81.2,4.1,2.2,2.1,1.6,0.7,0.2,0.1,NA,NA,NA
Brandon Rush,80.7,3.5,2.6,2.5,2,0.9,0.4,0,-0.3,-0.4,NA
Matt Carroll,80.5,4.6,3,2.6,0.8,0.7,0,0,-0.1,-0.1,-0.6
Ron Lee,79.3,3.8,2.8,1.6,1.4,0.8,0.3,NA,NA,NA,NA
