Thru 8 Years,Thru 8 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Armond Hill,,4.2,2.6,2.5,1,0.8,0.5,0,-0.4
Lee Winfield,86.1,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,NA
Toney Douglas,85.2,4.2,2.5,2.4,2.2,0.9,0.5,0.2,-0.6
Kevin Ollie,85.1,3.8,2.4,2.4,1.4,0.9,0.1,0,-0.1
Sonny Hertzberg,84.7,4,2.5,2.3,1.4,0.7,NA,NA,NA
Matt Carroll,84.3,4.6,3,2.6,0.8,0.7,0,-0.1,-0.1
Brandon Knight,82.5,4.5,2.8,1.7,1.3,1.1,0.3,0,NA
Howard Eisley,82.4,4.4,3,2.9,1.3,1.2,1,-0.3,-0.5
Kevin Edwards,81.8,5.1,2.5,2.4,1.6,0.6,0.5,0.3,-0.2
Slick Watts,81.5,4.7,3.3,2.7,1.2,1.2,0.8,NA,NA
Sam Vincent,81.4,3.3,2.4,2.3,1.1,0.9,0.5,0.3,NA
