Season,Team,Lg,Salary
1994-95,Houston Rockets,NBA,"$30,000"
2000-01,Atlanta Hawks,NBA,"$611,000"
2001-02,New York Knicks,NBA,"$715,850"
Career,(may be incomplete),,"$1,356,850"
