Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1968-69,23,SFW,NBA,C,31,559,12.6,0.469,0.522,NA,NA,NA,7.3,NA,NA,NA,NA,NA,0.2,0.9,1.1,0.095,NA,NA,NA,NA,NA
1969-70,24,SFW,NBA,C,63,685,11.8,0.534,0.581,NA,NA,NA,4.7,NA,NA,NA,NA,NA,0.7,0.9,1.6,0.113,NA,NA,NA,NA,NA
1970-71,25,POR,NBA,C,80,1823,14,0.527,0.414,NA,NA,15,13.2,NA,NA,NA,NA,NA,2.3,2.2,4.4,0.116,NA,NA,NA,NA,NA
1971-72,26,POR,NBA,C,81,2693,15.8,0.581,0.485,NA,NA,15,14.2,NA,NA,NA,NA,NA,5.4,0.9,6.3,0.112,NA,NA,NA,NA,NA
1972-73,27,PHI,NBA,C,78,1136,15.3,0.563,0.388,NA,NA,13.9,12.4,NA,NA,NA,NA,NA,2.2,0.8,3,0.126,NA,NA,NA,NA,NA
1973-74,28,ATL,NBA,C,57,547,13.3,0.522,0.37,9.8,18.9,14.3,10.3,2,2.1,NA,NA,NA,0.4,0.7,1.1,0.098,NA,-1.1,1.2,0.1,0.3
1974-75,29,BUF,NBA,C,76,962,13.1,0.579,0.68,8.6,18.9,14,13.4,0.8,2.2,NA,NA,NA,0.9,1.1,2,0.102,NA,-1.4,1.4,0,0.5
1975-76,30,BUF,NBA,C,71,773,10.7,0.558,0.664,8.1,21.7,15.1,12.9,0.7,1.1,NA,NA,NA,0.3,0.9,1.2,0.076,NA,-2.5,0.9,-1.6,0.1
1976-77,31,PHO,NBA,C,39,337,8.5,0.409,0.431,9.6,15.9,12.8,14.3,1.1,1.3,NA,NA,NA,-0.4,0.4,0.1,0.009,NA,-4.1,0.7,-3.4,-0.1
1977-78,32,POR,NBA,C,10,109,6,0.464,0.947,4.9,15,10,19.9,1.3,1,35.8,15.2,NA,-0.2,0.2,0,-0.006,NA,-3.9,0.7,-3.2,0
Career,NA,,NBA,,586,9624,13.7,0.545,0.485,8.7,19.2,14.5,12.4,1.1,1.7,35.8,15.2,NA,12,8.9,20.8,0.104,NA,-2.1,1.1,-1,0.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,POR,NBA,,171,4625,14.9,0.556,0.461,4.9,15,14.9,13.9,1.3,1,35.8,15.2,NA,7.5,3.2,10.7,0.111,NA,-3.9,0.7,-3.2,0
2 seasons,NA,BUF,NBA,,147,1735,12,0.571,0.673,8.4,20.2,14.5,13.2,0.8,1.7,NA,NA,NA,1.3,2,3.3,0.09,NA,-1.9,1.2,-0.7,0.6
2 seasons,NA,SFW,NBA,,94,1244,12.2,0.503,0.552,NA,NA,NA,5.9,NA,NA,NA,NA,NA,0.9,1.8,2.7,0.105,NA,NA,NA,NA,NA
1 season,NA,PHI,NBA,,78,1136,15.3,0.563,0.388,NA,NA,13.9,12.4,NA,NA,NA,NA,NA,2.2,0.8,3,0.126,NA,NA,NA,NA,NA
1 season,NA,ATL,NBA,,57,547,13.3,0.522,0.37,9.8,18.9,14.3,10.3,2,2.1,NA,NA,NA,0.4,0.7,1.1,0.098,NA,-1.1,1.2,0.1,0.3
1 season,NA,PHO,NBA,,39,337,8.5,0.409,0.431,9.6,15.9,12.8,14.3,1.1,1.3,NA,NA,NA,-0.4,0.4,0.1,0.009,NA,-4.1,0.7,-3.4,-0.1
