Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,28,ATL,NBA,C,57,NA,547,5,10.7,0.467,3,4,0.76,4.3,8,12.3,3.6,2,1.7,NA,6.7,13,NA,NA,96
1974-75,29,BUF,NBA,C,76,NA,962,4.3,8.2,0.517,3.9,5.6,0.694,3.6,8.6,12.2,4.8,0.8,1.9,NA,7.6,12.4,NA,NA,97
1975-76,30,BUF,NBA,C,71,NA,773,3.5,7,0.5,3.1,4.6,0.667,3.3,9.5,12.9,4.6,0.7,1,NA,8.1,10.1,NA,NA,97
1976-77,31,PHO,NBA,C,39,NA,337,3.5,9.6,0.361,2.4,4.1,0.581,4,6.7,10.7,5.1,1.1,1.1,NA,8.3,9.4,NA,NA,98
1977-78,32,POR,NBA,C,10,NA,109,3.4,8,0.421,3.8,7.6,0.5,2.1,6.8,8.9,7.6,1.3,0.8,6.3,8.5,10.6,NA,79,98
Career,NA,,NBA,,253,NA,2728,4.1,8.6,0.475,3.3,4.9,0.674,3.7,8.4,12.1,4.6,1.1,1.5,0.2,7.6,11.4,NA,79,97
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,BUF,NBA,,147,NA,1735,3.9,7.7,0.51,3.5,5.2,0.683,3.5,9,12.5,4.7,0.8,1.5,NA,7.8,11.4,NA,NA,97
1 season,NA,ATL,NBA,,57,NA,547,5,10.7,0.467,3,4,0.76,4.3,8,12.3,3.6,2,1.7,NA,6.7,13,NA,NA,96
1 season,NA,PHO,NBA,,39,NA,337,3.5,9.6,0.361,2.4,4.1,0.581,4,6.7,10.7,5.1,1.1,1.1,NA,8.3,9.4,NA,NA,98
1 season,NA,POR,NBA,,10,NA,109,3.4,8,0.421,3.8,7.6,0.5,2.1,6.8,8.9,7.6,1.3,0.8,6.3,8.5,10.6,NA,79,98
