Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Mack Calvin,,10.4,9,8.8,8.5,8.5,7.7,2.8,1.8,1.5,1.4,0,NA
Mark Price,85.4,11.3,10.1,10,9.8,9.1,7.8,4.2,4,2,1.7,1.1,0
Jim Paxson,84.8,10.2,9.5,7.7,7.5,6.5,4.8,3.4,1.4,1.3,1.2,0.3,NA
Donnie Freeman,84.4,9.9,9.7,8.9,7.6,7.3,5.1,3.7,3.4,2.4,NA,NA,NA
DeMar DeRozan,83.5,9.9,9.6,9,8.8,6.3,4.7,4,3.2,2.5,2.3,NA,NA
Kyrie Irving,83.4,10.4,9.1,8.9,8.9,6.7,5.3,5,4.1,NA,NA,NA,NA
Paul Westphal,83.2,10.5,10.4,9.8,9.6,9.6,5.1,3.7,3.2,2.4,1.5,1.4,0.3
Bobby Wanzer,81.6,11.4,10.5,9.1,7.9,7,6.9,5.4,4.8,1,NA,NA,NA
Gus Williams,81.4,11.6,10.2,8.5,8.3,7.7,5.9,5.1,4.2,3.6,2.8,0.1,NA
Jeff Mullins,81.3,10,9.9,8.3,8.2,6.8,5.7,5.6,4.5,2.3,0.9,0.8,-0.3
Fat Lever,80.9,10.4,9.7,9.2,8.8,5.2,4.8,4.5,4.4,2.9,1.3,0,NA
