Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Mack Calvin,,10.4,9,8.8,8.5,8.5,7.7,2.8,1.8,1.5,1.4,0
Mark Price,86.4,11.3,10.1,10,9.8,9.1,7.8,4.2,4,2,1.1,0
Sam Cassell,85.5,12.1,9.6,9.2,8.6,8.5,8.3,4.7,3.9,3.9,2.2,0.8
Jim Paxson,84.8,10.2,9.5,7.7,7.5,6.5,4.8,3.4,1.4,1.3,1.2,0.3
Dale Ellis,84.6,10.8,9.3,9,7.6,6.4,6.4,4.8,3.2,2.4,1.6,1.5
Paul Westphal,84.5,10.5,10.4,9.8,9.6,9.6,5.1,3.7,3.2,2.4,1.4,0.3
Donnie Freeman,84.4,9.9,9.7,8.9,7.6,7.3,5.1,3.7,3.4,2.4,NA,NA
Ricky Pierce,84.3,9.4,8.3,7.9,7.8,7.7,6.7,5.8,3,2.2,1.8,-0.1
DeMar DeRozan,83.5,9.9,9.6,9,8.8,6.3,4.7,4,3.2,2.5,2.3,NA
Kyrie Irving,83.4,10.4,9.1,8.9,8.9,6.7,5.3,5,4.1,NA,NA,NA
Derek Harper,82.9,9.9,9.4,9.1,8,7.6,6.2,5.4,4,3.5,2.7,1.3
