,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,3P,3PA,2P,2PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc
1987-88,28,SAS,NBA,,8,16,1,1,7,15,5,10,3,9,12,5,3,1,5,5,22,19.8
1989-90,30,SAS,NBA,,9,12,0,0,9,12,6,9,4,6,8,3,2,1,3,5,20,14.9
1990-91,31,MIL,NBA,,10,18,0,1,10,17,3,6,3,11,12,2,1,2,4,6,23,13.6
1995-96,36,SEA,NBA,,5,6,2,3,3,3,3,4,2,5,7,2,1,1,3,6,12,10.2
Career,,,,,10,18,2,3,10,17,6,10,4,11,12,5,3,2,5,6,23,19.8
1 Season,,SEA,NBA,,5,6,2,3,3,3,3,4,2,5,7,2,1,1,3,6,12,10.2
2 Seasons,,SAS,NBA,,9,16,1,1,9,15,6,10,4,9,12,5,3,1,5,5,22,19.8
1 Season,,MIL,NBA,,10,18,0,1,10,17,3,6,3,11,12,2,1,2,4,6,23,13.6
