Thru 12 Years,Thru 12 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Frank Brickowski,,4.7,4.1,3.8,3.7,3.6,3.4,2.7,1.6,1.1,1,0.4,-0.1
Chris Gatling,87.6,4.6,4.5,4,3.9,3.9,3.1,2.4,2.4,2,1.4,-0.1,NA
Ollie Johnson,86.6,4.8,4.1,3.6,3.1,2.9,2.6,2.3,2,1.3,0.2,NA,NA
Patrick Patterson,86.6,6.1,4.1,3.8,3.6,3.3,2.6,2.4,1.6,1.1,NA,NA,NA
Malik Rose,86.1,5.2,4.4,3.8,3.4,3.3,2.6,2.6,1.1,0.5,0.4,0.1,-0.5
Austin Croshere,85.9,5.4,4.1,4.1,3.4,3.2,2.6,2,1.3,1.1,0.3,0.1,0
Dwight Jones,84.2,3.9,3.8,3.6,3.1,2.9,2.9,2.7,2.6,1.3,0.6,NA,NA
Lorenzen Wright,84.2,5.2,3.7,3.2,3.2,3.2,3.1,2.5,2.2,2.2,1.4,0.7,0
Kurt Rambis,83.7,4.8,4.3,4.3,4.1,4.1,3.9,2.6,2.3,2.2,1.7,1.5,0.6
Cliff Robinson,83.7,5.6,4.4,3.6,3.5,3.1,2.9,2.6,2.5,2.1,0.3,0.1,NA
Vladimir Radmanović,83.5,4.2,3.8,3.7,3.5,2.7,2.1,2.1,1.9,1.6,0.8,0.1,0
