Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Anthony Bennett,,0.5,0.3,0.1,-0.4
Gene James,44.4,0.5,0.3,0.1,NA
Alex Poythress,43.2,0.5,0.3,0.1,NA
Anthony Cook,38.8,0.5,0.4,0.1,0.1
Trevor Wilson,36.3,0.8,0.3,0.2,-0.5
Mark Randall,35.7,0.5,0.3,0.2,0
Josh Davis,35.4,0.5,0.3,0,0
Roderick McDonald,32.4,0.5,0.5,0.2,NA
Mike Harris,30.4,0.5,0.5,0,-0.1
Jamie Watson,28.1,0.8,0.3,0.1,0
Gene Guarilia,24.4,0.7,0.5,0.3,-0.2
