Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Michael Brooks,,4.9,4.7,4.5,2.4,0,0
Chuck Gilmur,90.8,4.6,4.5,4.3,1.7,-0.1,NA
Jared Sullinger,88.6,4.8,4,3.9,2.7,-0.1,NA
Randolph Mahaffey,88.3,5.7,4.7,3.7,2.6,NA,NA
Keon Clark,87.5,5.3,4.7,4.2,3.7,0.2,0
Larry Nance,85.8,5.8,4.9,3.5,2.2,NA,NA
Leo Barnhorst,85.4,4.7,4.6,3.6,1.3,NA,NA
Jack Kerris,83.7,5.9,5.7,4.1,2.1,NA,NA
George Stone,83.6,4.6,4.6,4.5,0.2,NA,NA
Bob Harris,82.8,5,4.3,3.4,1.9,1,NA
Aaron Gordon,82.6,5.4,5.1,3.7,2.9,1,NA
