Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Michael Brooks,,4.9,4.7,4.5,2.4,0,0
Chuck Gilmur,90.8,4.6,4.5,4.3,1.7,-0.1,NA
Stephen Jackson,88.6,4.8,4.4,4.4,3.1,0.9,-0.1
Jared Sullinger,88.6,4.8,4,3.9,2.7,-0.1,NA
Luc Mbah a Moute,88.4,4.8,4.7,4,2.4,1,0.5
Randolph Mahaffey,88.3,5.7,4.7,3.7,2.6,NA,NA
Keon Clark,87.5,5.3,4.7,4.2,3.7,0.2,0
Larry Nance,85.8,5.8,4.9,3.5,2.2,NA,NA
Leo Barnhorst,85.4,4.7,4.6,3.6,1.3,NA,NA
Brandon Bass,83.8,6.3,4.3,4.1,2,0.1,0
Jack Kerris,83.7,5.9,5.7,4.1,2.1,NA,NA
