Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Chuck Cooper,,3.3,3.1,2.4,1.7,1.1,0,NA,NA
James Ennis,92.8,3.1,3.1,2.6,1.9,0.9,NA,NA,NA
Lew Hitch,88.8,3.3,2.7,2.2,2.2,1.2,NA,NA,NA
Dwight Davis,88.0,3.7,3.3,2.3,1.5,0.6,NA,NA,NA
Stacey King,87.8,3.6,3.1,1.9,1.5,0.9,0.1,0,-0.2
Derrek Dickey,87.2,3.8,3.1,2.3,1.7,0.3,NA,NA,NA
Dave Budd,86.4,4.1,3.2,2.3,1.2,0.9,NA,NA,NA
Mike Muscala,86.2,3.4,2.5,2.4,1.9,1.6,0.2,NA,NA
Al Tucker,86.1,3.5,2.3,2.3,2.1,1.1,NA,NA,NA
T.J. Warren,85.9,4.1,3.4,2.2,2.1,1.1,NA,NA,NA
Jahidi White,85.9,3.3,3.2,2.1,1.2,0.6,0.2,-0.1,NA
