Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Chuck Cooper,,3.3,3.1,2.4,1.7,1.1,0
Anthony Tolliver,92.9,3.3,3.2,2.5,1.2,0.9,0
James Ennis,92.8,3.1,3.1,2.6,1.9,0.9,NA
Scott Williams,90.2,3.9,3.1,2.3,1.7,0.9,0.3
Andray Blatche,89.2,3.4,3,2.4,1.4,0.5,0.1
Stacey King,89.0,3.6,3.1,1.9,1.5,0.9,0.1
Lew Hitch,88.8,3.3,2.7,2.2,2.2,1.2,NA
Michael Curry,88.2,3.2,2.9,2,1.7,1.6,-0.2
Dwight Davis,88.0,3.7,3.3,2.3,1.5,0.6,NA
Derrek Dickey,87.2,3.8,3.1,2.3,1.7,0.3,NA
Jahidi White,86.9,3.3,3.2,2.1,1.2,0.6,0.2
