Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Ime Udoka,,3.9,2.8,1.3,0.8,0,0,0
Greg Kelser,92.8,3.9,2.5,1.4,0.8,0.1,0,NA
Trey Lyles,91.5,3.9,2.3,1.2,0.8,NA,NA,NA
Rondae Hollis-Jefferson,90.0,4.1,2.6,1.2,1.2,NA,NA,NA
Bob Doll,85.4,4,2.8,1.8,1.6,NA,NA,NA
Mirza Teletović,84.9,3.8,2.7,0.9,0.6,0.5,0.3,NA
Boštjan Nachbar,84.3,4.1,2.2,1.7,0.8,0.1,-0.1,NA
Darren Daye,83.9,3.8,2.4,1.3,1.2,0.6,NA,NA
Tony Jaros,83.9,4.4,2.2,1.3,0.6,NA,NA,NA
Mike Sweetney,83.8,3.8,2.1,1.4,0.4,NA,NA,NA
Zeke Zawoluk,83.0,3.9,2.5,1.7,NA,NA,NA,NA
