Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Leon Wood,,2.2,2,1.9,0.6,0.3,-0.2
Jonathon Simmons,87.5,2,2,1.9,0.3,NA,NA
Brian Roberts,86.2,2.2,2.2,1.8,1,0.2,NA
Em Bryant,81.9,2,1.9,1.7,0.5,0.1,-0.7
E'Twaun Moore,80.0,2.7,1.8,1.7,0.8,0.2,0.2
Jon Barry,79.8,2.4,2.1,1.8,1.1,0.9,-0.1
Dave Wohl,79.4,2.1,1.7,1.4,1,0.2,0
Al Bianchi,79.0,2.4,1.8,1.5,0.8,0.8,-0.1
James Robinson,79.0,2.3,1.9,1.2,0.2,0.2,-0.1
Alan Anderson,78.8,2.7,1.7,1.6,0.4,0.3,0.1
Caris LeVert,78.4,2.3,1.8,1.7,NA,NA,NA
