Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Leon Wood,,2.2,2,1.9,0.6,0.3,-0.2,NA
Jonathon Simmons,87.5,2,2,1.9,0.3,NA,NA,NA
Brian Roberts,86.2,2.2,2.2,1.8,1,0.2,NA,NA
Caris LeVert,78.4,2.3,1.8,1.7,NA,NA,NA,NA
Gordan Giriček,78.1,2.4,1.9,1.8,1.6,0.5,-0.2,NA
Jerry Fleishman,77.9,2.2,2.1,1.6,1.3,0.6,NA,NA
James Robinson,77.6,2.3,1.9,1.2,0.2,0.2,0,-0.1
Joe Hassett,77.3,2,1.6,1.4,0.9,0.5,0,NA
Tim Frazier,76.9,2.4,2,1.4,1,-0.1,NA,NA
Dave Wohl,76.9,2.1,1.7,1.4,1,0.2,0,-0.2
Med Park,76.6,1.9,1.9,1.8,1.6,0.4,NA,NA
