Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,25,LAL,NBA,SG,3,NA,125,32,62,0.516,13,17,0.765,NA,NA,13,15,NA,NA,11,77
1967-68,26,LAL,NBA,PG,15,NA,528,88,206,0.427,53,69,0.768,NA,NA,47,60,NA,NA,42,229
1968-69,27,PHI,NBA,SG,5,NA,185,40,77,0.519,17,19,0.895,NA,NA,19,22,NA,NA,17,97
1969-70,28,PHI,NBA,PG,5,NA,146,26,60,0.433,16,22,0.727,NA,NA,14,18,NA,NA,10,68
1970-71,29,PHI,NBA,PG,7,NA,295,66,139,0.475,33,45,0.733,NA,NA,29,34,NA,NA,21,165
1971-72,30,BAL,NBA,PG,6,NA,271,55,126,0.437,50,59,0.847,NA,NA,24,47,NA,NA,15,160
1972-73,31,BAL,NBA,PG,5,NA,214,46,92,0.5,14,18,0.778,NA,NA,17,26,NA,NA,20,106
1973-74,32,CAP,NBA,PG,7,NA,162,20,59,0.339,11,20,0.55,3,10,13,15,5,0,13,51
1974-75,33,SEA,NBA,PG,9,NA,269,41,94,0.436,18,20,0.9,7,25,32,31,6,1,23,100
1975-76,34,DET,NBA,SG,9,NA,192,30,62,0.484,12,18,0.667,2,19,21,29,6,0,25,72
Career,NA,,NBA,,71,NA,2387,444,977,0.454,237,307,0.772,12,54,229,297,17,1,197,1125
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,LAL,NBA,,18,NA,653,120,268,0.448,66,86,0.767,NA,NA,60,75,NA,NA,53,306
3 seasons,NA,"BAL,CAP",NBA,,18,NA,647,121,277,0.437,75,97,0.773,3,10,54,88,5,0,48,317
3 seasons,NA,PHI,NBA,,17,NA,626,132,276,0.478,66,86,0.767,NA,NA,62,74,NA,NA,48,330
1 season,NA,DET,NBA,,9,NA,192,30,62,0.484,12,18,0.667,2,19,21,29,6,0,25,72
1 season,NA,SEA,NBA,,9,NA,269,41,94,0.436,18,20,0.9,7,25,32,31,6,1,23,100
