,,,,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs,Game Highs
Season,Age,Tm,Lg,MP,FG,FGA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,25,LAL,NBA,,11,23,5,7,,,5,6,,,6,27
1967-68,26,LAL,NBA,,9,,7,7,,,,,,,,20
1968-69,27,PHI,NBA,,13,18,7,7,,,7,7,,,5,29
1969-70,28,PHI,NBA,,9,,7,9,,,,,,,,21
1970-71,29,PHI,NBA,,14,29,9,10,,,7,7,,,4,37
1971-72,30,TOT,NBA,,15,32,12,16,,,6,11,,,4,38
1971-72,30,BAL,NBA,,15,32,12,16,,,6,11,,,4,38
1972-73,31,BAL,NBA,,13,22,4,5,,,4,10,,,6,30
1973-74,32,CAP,NBA,,7,18,6,10,,,3,4,,,4,20
1974-75,33,SEA,NBA,,8,,4,4,,,,,,,,19
1975-76,34,DET,NBA,,6,11,3,6,,,8,6,,,5,15
Career,,,,,15,,12,16,,,,,,,,38
2 Seasons,,LAL,NBA,,11,,7,7,,,,,,,,27
3 Seasons,,"BAL,CAP",NBA,,15,32,12,16,,,6,11,,,6,38
3 Seasons,,PHI,NBA,,14,,9,10,,,,,,,,37
1 Season,,DET,NBA,,6,11,3,6,,,8,6,,,5,15
1 Season,,SEA,NBA,,8,,4,4,,,,,,,,19
