Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS,,ORtg,DRtg
1973-74,32,CAP,NBA,PG,56,NA,1786,8,17.1,0.467,2.6,3.3,0.786,1.1,2.5,3.6,7.2,1.5,0.2,3.1,18.5,NA,NA,98
1974-75,33,SEA,NBA,PG,77,NA,2481,8.3,16.9,0.495,3,3.5,0.834,1.1,3.2,4.3,7.9,2,0.1,3.4,19.6,NA,NA,100
1975-76,34,DET,NBA,SG,79,NA,1589,7.2,16.6,0.433,2.9,3.3,0.862,0.8,3.2,3.9,6.3,1.8,0.1,4.5,17.2,NA,NA,103
Career,NA,,NBA,,212,NA,5856,7.9,16.8,0.48,2.8,3.4,0.769,1,3,4,7.3,1.8,0.1,3.6,18.6,NA,NA,100
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,DET,NBA,,79,NA,1589,7.2,16.6,0.433,2.9,3.3,0.862,0.8,3.2,3.9,6.3,1.8,0.1,4.5,17.2,NA,NA,103
1 season,NA,SEA,NBA,,77,NA,2481,8.3,16.9,0.495,3,3.5,0.834,1.1,3.2,4.3,7.9,2,0.1,3.4,19.6,NA,NA,100
3 seasons,NA,"BAL,CAP",NBA,,56,NA,1786,8,17.1,0.476,2.6,3.3,0.78,1.1,2.5,3.6,7.2,1.5,0.2,3.1,18.5,NA,NA,98
2 seasons,NA,LAL,NBA,,0,NA,0,NA,NA,0.47,NA,NA,0.731,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,PHI,NBA,,0,NA,0,NA,NA,0.492,NA,NA,0.763,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
