Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,PF,PTS
1967-68,26,LAL,NBA,PG,1,0,15:00,5,8,0.625,7,7,1,NA,0,3,NA,NA,2,17
1971-72,30,BAL,NBA,PG,1,0,21:00,2,5,0.4,4,4,1,NA,1,6,NA,NA,1,8
Career,NA,,NBA,,2,0,36,7,13,0.538,11,11,1,NA,1,9,NA,NA,3,25
